model_name,rmse,r2_score,mae,n_features,n_samples,top_feature,top_importance
RandomForest,0.7696487473202543,0.6982781167206049,0.4538342799368034,84,10731,call_count_roll_mean_3,0.3367428168181616
LightGBM,0.7343705615339352,0.7253040892495752,0.4514067339661021,84,10731,call_count_roll_std_3,712.0
XGBoost,0.8096069033168223,0.6661356091499329,0.4901763110541973,84,10731,typhoon,0.7491320967674255
CatBoost,0.763868828691307,0.7027928506251815,0.46862826138299324,84,10731,call_count_roll_mean_3,27.727733354562243
