,rmse,r2,mae,n_samples
LightGBM,0.7343705615339352,0.7253040892495752,0.4514067339661021,10731.0
Ensemble_RMSE_Weighted,0.7395387561735329,0.7214240930361231,0.45017927401568253,10731.0
CatBoost,0.763868828691307,0.7027928506251815,0.46862826138299324,10731.0
RandomForest,0.7696487473202543,0.6982781167206049,0.4538342799368033,10731.0
XGBoost,0.8096069033168223,0.6661356091499329,0.49017632007598877,10731.0
